# La habilidad pasiva de cada espiritu (NOTAS O-184).
# Lo genera herramientas/construir_pasivas_espiritu.py.
id,nombre,familia,texto,valor
BB1BC0C0,Tótem antílope,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
EEEA336E,Tótem antílope oscuro,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
9B00D549,Tótem Begiran,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
5853F862,Tótem Belion,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
50D90BC6,Tótem Brakias,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
04BBB0BF,Tótem búfalo,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
69DE21EF,Tótem búho,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
7A6AB06F,Tótem búho cornudo,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
C98575BC,Tótem caballo,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
ECC86EEA,Tótem Dandor,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
0E1334F3,Tótem Dohma,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
3B5BAB76,Tótem Dolfinus,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
1DA78F1F,Tótem Doruga,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
2E08217A,Tótem Dragunova,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
B754756C,Tótem Fenikias,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
E80D028E,Tótem Flami,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
821CEAE9,Tótem Gandran,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
0C316977,Tótem Garius,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
A6C2B968,Tótem Giorom,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
ED5B0C51,Tótem Goliger,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
903B33BE,Tótem grifo,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
E7F3A271,Tótem Guirius,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
F5D4514A,Tótem Guma,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
6402DC94,Tótem Gusfi,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
F1113D2E,Tótem halcón,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
DA31CE50,Tótem Ixaal,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
77B66778,Tótem león,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
B0202637,Tótem lobo,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
224794D6,Tótem lobo plateado,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
11E810DF,Tótem oso lunar,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
FA2ADBD9,Tótem oso pardo,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
974F4A89,Tótem Pamerio,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
3DBC9A96,Tótem pavo real,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
E5D1FFF5,Tótem pegaso,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
2682D2DE,Tótem pegaso rojo,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
AFDB021B,Tótem Pelion,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
558F2F75,Tótem salamandra oscura,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
C32DF1F0,Tótem tejón,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
53681E95,Tótem Univolt,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
6C882F30,Tótem Vairaas,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
D2BB3DF4,Tótem Zooma,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
762505C3,Tótem zorro,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
EEEA1902,Tótem águila calva,alma,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
7B3A69F2,Alfil blanco,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
ED0A6E85,Alfil blanco,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
CAF7F1A5,Alfil negro,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
90F8A2F4,Amaterasu,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
3219528B,Apolo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
A42955FC,Apolo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
AC3155C6,Archipegaso,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
F05C2D31,Archipegaso rojo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
8607F429,Argentia,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
0E091089,Arturo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
3EB0F6EA,Arturo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
5BD74A52,Arturo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
5CCDD688,Arturo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
6B6EAC31,Arturo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
B4581910,Arturo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
CAFDD1FF,Arturo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
D13FA5A8,Arturo,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
7E71AEAF,Astaroth,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
082A77B7,Asura,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
0897A1A0,Atenea,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
382E47C3,Atenea,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
47F39EC0,Atenea,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
6B92902E,Atenea,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
B2C6A839,Atenea,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
D1C399B7,Atenea,armadura,"Cuando un jugador de otro elemento está cerca, AT propio de tiro +20 %",20
