# Extraido de la tabla de Cheat Engine de EasyGameCheatEngine para la
# version 7.1.1 del juego. Los identificadores se usan como datos; el
# credito es suyo. Los ids estan tal y como los muestra Cheat Engine.
id_ce,id_partida,nombre,clase
5C2AF11A,1AF12A5C,Hero Passive 01,pasiva exclusiva de Hero
6BF40128,2801F46B,Hero Passive 04,pasiva exclusiva de Hero
2122BE90,90BE2221,Hero Passive 08 (Type 1),pasiva exclusiva de Hero
2894F2BB,BBF29428,Hero Passive 08 (Type 2),pasiva exclusiva de Hero
999ED9F5,F5D99E99,Hero Passive 09,pasiva exclusiva de Hero
EE284FFD,FD4F28EE,Hero Passive 15,pasiva exclusiva de Hero
FC9DE013,13E09DFC,Hero Passive 16,pasiva exclusiva de Hero
1C429720,2097421C,Hero Passive 18,pasiva exclusiva de Hero
845A23F9,F9235A84,Hero Passive 19,pasiva exclusiva de Hero
6A5442D5,D542546A,Hero Passive 20,pasiva exclusiva de Hero
6D3986CC,CC86396D,Hero Passive 22,pasiva exclusiva de Hero
8A81ABCB,CBAB818A,Hero Passive 23,pasiva exclusiva de Hero
9D4112B8,B812419D,Hero Passive 24,pasiva exclusiva de Hero
734F7394,94734F73,Hero Passive 25,pasiva exclusiva de Hero
9A2CD6A1,A1D62C9A,Hero Passive 26,pasiva exclusiva de Hero
3EE1D416,16D4E13E,Hero Passive 28,pasiva exclusiva de Hero
939A9A8A,8A9A9A93,Hero Passive 29 (Type 1),pasiva exclusiva de Hero
E49DAA1C,1CAA9DE4,Hero Passive 29 (Type 2),pasiva exclusiva de Hero
A507B4E9,E9B407A5,Hero Passive 30,pasiva exclusiva de Hero
9E74A7E8,E8A7749E,Hero Passive 32,pasiva exclusiva de Hero
6C1E7F35,357F1E6C,Hero Passive 35,pasiva exclusiva de Hero
5212E484,84E41252,Hero Passive 38,pasiva exclusiva de Hero
BB7141B1,B14171BB,Hero Passive 39,pasiva exclusiva de Hero
B0C3EF55,55EFC3B0,Hero Passive 40,pasiva exclusiva de Hero
793FB747,47B73F79,Hero Passive 43 (Type 1),pasiva exclusiva de Hero
0E64FCA7,A7FC640E,Hero Passive 43 (Type 2),pasiva exclusiva de Hero
905C1272,72125C90,Hero Passive 44 (Type 1),pasiva exclusiva de Hero
2B0FA37B,7BA30F2B,Hero Passive 44 (Type 2),pasiva exclusiva de Hero
EEED6ECF,CF6EEDEE,Hero Passive 46 (Type 1),pasiva exclusiva de Hero
99EA5E59,595EEA99,Hero Passive 46 (Type 2),pasiva exclusiva de Hero
5ECD8E79,798ECD5E,Hero Passive 48,pasiva exclusiva de Hero
2EA77AF6,F67AA72E,Hero Passive 51,pasiva exclusiva de Hero
E7BC9AC9,C99ABCE7,Hero Passive 52,pasiva exclusiva de Hero
0EDF3FFC,FC3FDF0E,Hero Passive 54,pasiva exclusiva de Hero
706E4341,41436E70,Hero Passive 55,pasiva exclusiva de Hero
67AEFA32,32FAAE67,Hero Passive 56,pasiva exclusiva de Hero
59A04A60,604AA059,Hero Passive 57,pasiva exclusiva de Hero
1E724296,9642721E,Hero Passive 61 (Type 1),pasiva exclusiva de Hero
B7AE2B4C,4C2BAEB7,Hero Passive 61 (Type 2),pasiva exclusiva de Hero
1FBC8477,7784BC1F,Hero Passive 64,pasiva exclusiva de Hero
FF63F344,44F363FF,Hero Passive 65,pasiva exclusiva de Hero
07B7F21B,1BF2B707,Hero Passive 66,pasiva exclusiva de Hero
BBFBC038,38C0FBBB,Hero Passive 67,pasiva exclusiva de Hero
CCFCF0AE,AEF0FCCC,Hero Passive 68 (Type 1),pasiva exclusiva de Hero
C7C4DFC3,C3DFC4C7,Hero Passive 68 (Type 2),pasiva exclusiva de Hero
80F16F18,186FF180,Hero Passive 69,pasiva exclusiva de Hero
2C2919B0,B019292C,Hero Passive 70 (Type 1),pasiva exclusiva de Hero
C0A91BDA,DA1BA9C0,Hero Passive 70 (Type 2),pasiva exclusiva de Hero
5B2E2926,26292E5B,Hero Passive 71,pasiva exclusiva de Hero
29CABEEF,EFBECA29,Hero Passive 72,pasiva exclusiva de Hero
0A5B8135,35815B0A,Hero Passive 73,pasiva exclusiva de Hero
