# Cuanto vale cada pasiva y de que va (para sumarlas por equipo).
# id = como esta en la partida. valor = el numero que ensena el juego.
# familia = puesta por nosotros leyendo el texto (NOTAS O-145).
# Lo genera herramientas/construir_valores_pasivas.py.
id,interno,tipo_efecto,valor,familia,texto
F4CA2B3A,ps10001,8A52A068,0.5,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
E49B5D39,ps10001_01,8A52A068,0.6,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
5ECA54A0,ps10001_02,8A52A068,0.7,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
C8FA53D7,ps10001_03,8A52A068,0.8,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
6B6F3749,ps10001_04,8A52A068,1,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
FD5F303E,ps10001_05,8A52A068,0.6,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
470E39A7,ps10001_06,8A52A068,0.7,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
D13E3ED0,ps10001_07,8A52A068,1,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
40238140,ps10001_08,8A52A068,1.2,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
D6138637,ps10001_09,8A52A068,1.5,at_tiro,AT de tiro +<VALUE> % para jugadores del mismo elemento
4E9B22A3,ps10002,135BF1D2,0.5,foco,Valor de foco +<VALUE> % para jugadores del mismo elemento
0A34E82B,ps10002_01,135BF1D2,0.6,foco,Valor de foco +<VALUE> % para jugadores del mismo elemento
B065E1B2,ps10002_02,135BF1D2,0.7,foco,Valor de foco +<VALUE> % para jugadores del mismo elemento
2655E6C5,ps10002_03,135BF1D2,0.8,foco,Valor de foco +<VALUE> % para jugadores del mismo elemento
85C0825B,ps10002_04,135BF1D2,1,foco,Valor de foco +<VALUE> % para jugadores del mismo elemento
13F0852C,ps10002_05,135BF1D2,0.7,foco,Valor de foco +<VALUE> % para jugadores del mismo elemento
A9A18CB5,ps10002_06,135BF1D2,0.8,foco,Valor de foco +<VALUE> % para jugadores del mismo elemento
3F918BC2,ps10002_07,135BF1D2,0.9,foco,Valor de foco +<VALUE> % para jugadores del mismo elemento
