# La imagen de cada cosa de la mochila.
# id_objeto = como esta en la partida (4 bytes tal cual).
# icono = ruta dentro de 200_icon o de recortes/laminas;
#         vacio = usa la de su familia.
# Lo genera herramientas/construir_iconos_mochila.py (NOTAS O-137).
categoria,id_objeto,icono
equipo-1-botas,A0115D6D,icon_item03/eq_sh110001.png
equipo-1-botas,43CAD3AA,icon_item03/eq_sh080101.png
equipo-1-botas,4BC1F6ED,icon_item03/eq_sh051501.png
equipo-1-botas,DE0B995A,icon_item03/eq_sh021201.png
equipo-1-botas,32A8C3A7,icon_item03/eq_sh010101.png
equipo-1-botas,6B1685A5,icon_item03/eq_sh010201.png
equipo-1-botas,60A5BD1E,icon_item03/eq_sh011001.png
equipo-1-botas,CBE3C52A,icon_item03/eq_sh070201.png
equipo-1-botas,FC89072B,icon_item03/eq_sh070301.png
equipo-1-botas,1E03795B,icon_item03/eq_sh045301.png
equipo-1-botas,9B15365E,icon_item03/eq_sh045401.png
equipo-1-botas,4227236F,icon_item03/eq_sh040101.png
equipo-1-botas,925D8328,icon_item03/eq_sh070101.png
equipo-1-botas,F20E4352,icon_item03/eq_sh050101.png
equipo-1-botas,1A4054F4,icon_item03/eq_sh110002.png
equipo-1-botas,C9EF2AC5,icon_item03/eq_sh042101.png
equipo-1-botas,5C7C47A4,icon_item03/eq_sh010301.png
equipo-1-botas,D96A08A1,icon_item03/eq_sh010401.png
equipo-1-botas,EE00CAA0,icon_item03/eq_sh010501.png
equipo-1-botas,B7BE8CA2,icon_item03/eq_sh010601.png
equipo-1-botas,80D44EA3,icon_item03/eq_sh010701.png
equipo-1-botas,BD9312A8,icon_item03/eq_sh010801.png
equipo-1-botas,8AF9D0A9,icon_item03/eq_sh010901.png
equipo-1-botas,57CF7F1F,icon_item03/eq_sh011101.png
equipo-1-botas,0E71391D,icon_item03/eq_sh011201.png
equipo-1-botas,391BFB1C,icon_item03/eq_sh011301.png
equipo-1-botas,BC0DB419,icon_item03/eq_sh011401.png
equipo-1-botas,E2D263E0,icon_item03/eq_sh020101.png
equipo-1-botas,BB6C25E2,icon_item03/eq_sh020201.png
equipo-1-botas,8C06E7E3,icon_item03/eq_sh020301.png
equipo-1-botas,0910A8E6,icon_item03/eq_sh020401.png
equipo-1-botas,3E7A6AE7,icon_item03/eq_sh020501.png
equipo-1-botas,67C42CE5,icon_item03/eq_sh020601.png
equipo-1-botas,50AEEEE4,icon_item03/eq_sh020701.png
equipo-1-botas,6DE9B2EF,icon_item03/eq_sh020801.png
