# El dibujo de cada pasiva, elegido por lo que dice su texto.
# NO viene de una tabla del juego: el juego no la tiene (NOTAS O-141).
# Los dibujos si son los suyos, de 200_icon/18_icon_abilearboard.
# Lo genera herramientas/construir_iconos_pasivas.py.
id,icono
F4CA2B3A,icon_abilearboard/icon_alb01_teambuff01_on.png
E49B5D39,icon_abilearboard/icon_alb01_teambuff01_on.png
5ECA54A0,icon_abilearboard/icon_alb01_teambuff01_on.png
C8FA53D7,icon_abilearboard/icon_alb01_teambuff01_on.png
6B6F3749,icon_abilearboard/icon_alb01_teambuff01_on.png
FD5F303E,icon_abilearboard/icon_alb01_teambuff01_on.png
470E39A7,icon_abilearboard/icon_alb01_teambuff01_on.png
D13E3ED0,icon_abilearboard/icon_alb01_teambuff01_on.png
40238140,icon_abilearboard/icon_alb01_teambuff01_on.png
D6138637,icon_abilearboard/icon_alb01_teambuff01_on.png
4E9B22A3,icon_abilearboard/icon_alb01_teambuff11_on.png
0A34E82B,icon_abilearboard/icon_alb01_teambuff11_on.png
B065E1B2,icon_abilearboard/icon_alb01_teambuff11_on.png
2655E6C5,icon_abilearboard/icon_alb01_teambuff11_on.png
85C0825B,icon_abilearboard/icon_alb01_teambuff11_on.png
13F0852C,icon_abilearboard/icon_alb01_teambuff11_on.png
A9A18CB5,icon_abilearboard/icon_alb01_teambuff11_on.png
3F918BC2,icon_abilearboard/icon_alb01_teambuff11_on.png
AE8C3452,icon_abilearboard/icon_alb01_teambuff11_on.png
38BC3325,icon_abilearboard/icon_alb01_teambuff11_on.png
D8AB25D4,icon_abilearboard/icon_alb01_teambuff12_on.png
6F535493,icon_abilearboard/icon_alb01_teambuff12_on.png
D5025D0A,icon_abilearboard/icon_alb01_teambuff12_on.png
43325A7D,icon_abilearboard/icon_alb01_teambuff12_on.png
E0A73EE3,icon_abilearboard/icon_alb01_teambuff12_on.png
76973994,icon_abilearboard/icon_alb01_teambuff12_on.png
CCC6300D,icon_abilearboard/icon_alb01_teambuff12_on.png
5AF6377A,icon_abilearboard/icon_alb01_teambuff12_on.png
